Name,Burnout,fatigue_predictions
Ashwin Kaurav,0.507231293,6.44553382
fffe31003300310037003800,0.254285563,4.072767814
fffe33003400380035003900,0.337690152,4.90650191
fffe3100370039003200,0.574903375,6.834221258
fffe32003600390036003700,0.507231293,6.454127355
fffe3600390032003200,0.524973011,6.556421954
fffe3600370032003200,0.33112775,4.657798658
fffe32003900390030003000,0.525542446,6.646806298
fffe3100370031003000,0.475809292,6.143599401
fffe31003500320037003600,0.475809292,6.143599401
fffe3400370031003100,0.475809292,6.137519268
fffe32003800300035003300,0.461946432,5.899659741
fffe31003700380037003700,0.389197442,5.355559378
fffe33003400300038003900,0.574903375,6.834221258
fffe33003100300039003600,0.598107297,7.08513202
fffe33003400380038003300,0.673988973,7.458739611
fffe33003400310032003500,0.644586867,7.456788498
fffe33003400360032003000,0.62486213,7.475936492
fffe32003800360033003400,0.329411346,4.84442796
fffe3600350031003700,0.439934603,5.641201434
fffe3200310033003500,0.344924779,4.944806279
fffe370039003500,0.185796145,2.635419979
fffe32003500340036003200,0.46149155,5.979747518
fffe360038003200,0.642064749,7.492203168
fffe31003800300039003900,0.462678839,5.702185111
fffe32003500310034003200,0.436015126,5.727418583
fffe33003100320039003300,0.436015126,5.727418583
fffe33003000330034003700,0.344924779,4.923494598
fffe32003500310039003300,0.408892999,5.561348017
fffe31003500310033003200,0.147012473,2.330981112
fffe31003900320038003800,0.262564369,4.089570806
fffe31003400340039003000,0.855306042,8.949836093
fffe390033003000,0.254285563,4.062145297
fffe3700360033003400,0.13149904,2.437718707
fffe31003700390034003900,0.13149904,2.437718707
fffe31003700360035003900,0.62486213,7.475936492
fffe31003200370037003900,0.424733613,5.453814509
fffe31003400310038003500,0.461946432,5.908253277
fffe32003200370033003000,0.34499061,4.793053858
fffe31003300320036003300,0.329411346,4.848914551
fffe3900390034003600,0.46149155,5.979747518
fffe32003300310032003600,0.197617481,2.683129245
fffe3500360039003300,0.642064749,7.492203168
fffe3700340039003900,0.652865672,7.4954391
fffe31003400370032003200,0.408892999,5.570385696
fffe360032003200,0.337690152,4.90650191
fffe33003100340030003600,0.718577589,7.954735985
fffe31003500300037003700,0.411828376,5.48139721
fffe31003600390038003800,0.337690152,4.904528722
fffe33003300360030003500,0.657523783,7.558137622
fffe3900380030003300,0.411828376,5.48139721
fffe31003700330034003500,0.424733613,5.453814509
fffe31003500360036003900,0.474682515,5.948148002
fffe3200380033003100,0.62486213,7.475936492
fffe3900360033003900,0.657523783,7.558137622
fffe33003000370031003200,0.509513977,6.180284019
fffe32003700370036003200,0.253153488,3.629071454
fffe31003400320034003300,0.46149155,5.968196437
fffe32003600360034003200,0.254285563,4.062145297
fffe32003700380035003100,0.642064749,7.492203168
fffe31003400350034003200,0.147012473,2.330981112
fffe31003000320038003200,0.525542446,6.646806298
fffe32003400300030003800,0.408892999,5.561348017
fffe32003600320038003300,0.509513977,6.186364152
fffe3300340035003700,0.337690152,4.904528722
